city,title,label
경상북도,경주배리석불입상,0
경상북도,경주석장동암각화,0
경상북도,경주세계문화엑스포공원,0
경상북도,경주시,0
경상북도,경주시 관광특구,0
경상북도,경주역사유적지구[유네스코 세계문화유산],0
경상북도,경주월드 어뮤즈먼트,0
경상북도,경주월드 캘리포니아비치,0
경상북도,경주한화리조트 온천&스프링돔,0
경상북도,경주향교,0
서울,경찰혼,0
경상북도,경천대랜드,0
강원도,경천묘,0
경상남도,경충사(정기룡장군유허지),0
강원도,경포가시연습지,0
강원도,경포도립공원,0
강원도,경포솔향온천,0
강원도,경포호(철새도래지),0
전라남도,경현서원,0
경상남도,경호강,0
경상남도,경화역 벚꽃길,0
경상북도,경흥사(경산),0
서울,경희궁,0
서울,경희궁 숭정전,0
서울,경희궁 흥화문,0
서울,경희궁공원,0
경기도,경희천문대,0
충청북도,계담서원,0
충청남도,계룡 사계고택,0
인천,계룡돈대,0
경상남도,계룡산,0
경상남도,계룡산 온천,0
충청남도,계룡산국립공원,0
충청남도,계룡산도예촌,0
충청남도,계룡산상신농촌체험휴양마을,0
충청남도,계룡산신도내주초석석재,0
경상북도,계림사(김천),0
전라남도,계마항,0
충청북도,계명산,0
충청북도,계명산자연휴양림,0
강원도,계방산(평창),0
강원도,계방산(홍천),0
충청남도,계백장군 유적지,0
전라북도,계산서원,0
전라남도,계송서원,0
경상남도,계승사(고성),0
충청남도,계암고택,0
인천,계양공원,0
인천,계양산,0
인천,계양산 산림욕장,0
전라북도,계양서원,0
경상남도,계원사(양산),0
강원도,계조암(속초),0
강원도,계족산(영월),0
강원도,계촌마을,0
전라북도,계화도,0
경상남도,고견사(거창),0
충청남도,고경명선생비,0
강원도,고고산,0
서울,고관(홍대),0
경기도,고구려대장간마을(태왕사신기 촬영장),0
제주도,고근산,0
경기도,고기동 오리촌,0
서울,고당조만식선생동상,0
충청남도,고대도,0
경기도,고대산,0
서울,고덕동 생태경관 보전지역,0
강원도,고돌이보물섬,0
경기도,고동산,0
충청남도,고란사(고란약수),0
충청남도,고란사유람선,0
울산,고래문화마을,0
경상북도,고래불해수욕장,0
부산,고래사 부산본점(어묵만들기 체험관),0
경기도,고려 공양왕릉,0
인천,고려궁지,0
경상남도,고려동유적지,0
인천,고려산,0
부산,고려제강 기념관,0
충청북도,고려청풍 한지체험관,0
경상북도,고령 개실마을,0
경상북도,고령 고아리 벽화 고분,0
경상북도,고령 대가야유적지,0
경상북도,고령 미니멀동물원,0
경상북도,고령 신촌숲,0
경상북도,고령 장기리 암각화,0
경상북도,고령 주산성,0
경상북도,고령 지산동 고분군,0
경상북도,고령 지산리 당간지주,0
충청남도,고령박씨종중재실,0
경상북도,고령안화리암각화,0
경상북도,고령향교,0
충청남도,고로서원,0
강원도,고로쇠마을,0
부산,고리 원자력발전소 홍보관,0
전라북도,고리봉,0
전라북도,고림사,0
충청남도,고마나루,0
전라남도,고마리마을,0
경상북도,고모산성,0
경기도,고모저수지,0
충청북도,고미술거리,0
세종특별자치시,고복자연공원,0
전라북도,고부구읍성,0
전라북도,고부향교,0
강원도,고불개해변,0
전라북도,고사포해수욕장,0
전라북도,고산,0
전라남도,고산 윤선도 문학체험공원,0
전라남도,고산 윤선도 유적지,0
충청북도,고산 9경,0
대구,고산골 메타쉐콰이어길,0
대구,고산골 (사진찍기 좋은 녹색명소),0
충청북도,고산사 석조관음보살좌상,0
충청북도,고산사 석조나한상,0
전라남도,고산사(장흥),0
충청남도,고산사(홍성),0
대구,고산서당,0
경상북도,고산서원,0
경상북도,고산서원,0
전라남도,고산서원,0
전라남도,고산유물전시관,0
전라북도,고산자연휴양림,0
경상북도,고산정,0
전라북도,고산향교,0
전라북도,고산향교대성전,0
경기도,고삼호수,0
강원도,고생대 화석산지,0
경상북도,고석사(포항),0
강원도,고석정 및 순담,0
강원도,고석정국민관광지,0
경상남도,고성 덕명리 공룡과 새발자국 화석 산지,0
경상남도,고성 송학동 고분군,0
강원도,고성 어명기 고택,0
강원도,고성 왕곡마을,0
경상남도,고성 자란만,0
경상남도,고성 최필간고택,0
경상남도,고성 학동마을 옛 담장,0
경상남도,고성군,0
강원도,고성군,0
강원도,고성명태홍보지원센터,0
경상남도,고성박물관,0
전라남도,고성사(강진),0
경기도,고성산,0
경상남도,고성유람선,0
경상남도,고성장산리허씨고가,0
경상남도,고성향교,0
전라남도,고소동 벽화마을,0
전라남도,고소동 천사벽화마을,0
경기도,고송정지,0
강원도,고씨굴,0
광주,고씨삼강문,0
전라북도,고암서원,0
경기도,고양 관광특구,0
경기도,고양 구 일산역사,0
경기도,고양 벽제관지,0
경기도,고양 서삼릉 [유네스코 세계문화유산],0
경기도,고양 서오릉 [유네스코 세계문화유산],0
경기도,고양시,0
경기도,고양향교,0
경상남도,고운동계곡,0
경상북도,고운사(의성),0
충청남도,고운식물원,0
강원도,고원통계곡,0
광주,고원희가옥,0
경상남도,고읍단감정보화농촌체험휴양마을 (사천고읍단감마을),0
강원도,고진하 가옥,0
전라북도,고창 고색창연마을 [농촌전통테마],0
전라북도,고창 고인돌 유적 [유네스코 세계문화유산],0
전라북도,고창 무장객사,0
전라북도,고창 무장현 관아와 읍성,0
전라북도,고창 분청사기요지,0
전라북도,고창신재효고택,0
전라북도,고창오거리당산,0
전라북도,고창읍성,0
전라북도,고창하전갯벌마을,0
전라북도,고창향교,0
강원도,고천마을,0
경상북도,고천서원,0
전라남도,고천암호(철새도래지),0
서울,고촌홀(제약박물관),0
강원도,고탄리낚시터,0
충청남도,고파도,0
강원도,고포마을,0
전라남도,고하도이충무공유적,0
서울,고하송진우선생동상,0
울산,고헌산(울산),0
경상남도,고현리 공룡발자국화석,0
경상남도,고현성,0
전라북도,고홍건신도비,0
전라남도,고흥 남성어촌체험마을,0
전라남도,고흥 무열사,0
전라남도,고흥 신기거북이마을,0
전라남도,고흥 쌍충사,0
전라남도,고흥 안남어촌체험마을,0
전라남도,고흥 유자공원,0
전라남도,고흥 존심당 및 아문,0
전라남도,고흥 해창만 간척지 공원,0
전라남도,고흥발포만호성,0
전라남도,고흥우주발사전망대,0
전라남도,고흥우주천문과학관,0
전라남도,고흥향교,0
충청남도,곡교천변 은행나무길,0
전라남도,곡성 단군전,0
전라남도,곡성 하늘나리마을,0
전라남도,곡성 함허정,0
전라남도,곡성군,0
전라남도,곡성섬진강천문대,0
전라남도,곡성향교,0
전라남도,곡수서원,0
강원도,곡운구곡,0
경상북도,곤산서원,0
경상남도,곤양향교,0
경기도,곤지암리조트,0
강원도,곤충농장 벅스팜,0
강원도,곤충마을박물관,0
경기도,곤충생태관,0
경상북도,골굴사(경주),0
전라북도,곰소염전,0
전라북도,곰소항,0
경기도,곱돌광산약수터,0
경상남도,공곶이,0
서울,공덕동 족발 골목,0
대구,공룡공원,0
충청북도,공림사,0
강원도,공만들기체험학습장 (파오스),0
부산,공수어촌체험마을,0
강원도,공수전계곡,0
강원도,공수전리 마을관리휴양지,0
경상북도,공암(코끼리바위),0
강원도,공작산,0
충청북도,공전자연학교,0
충청남도,공주 갑사 철당간,0
충청남도,공주 계룡산 중악단,0
충청남도,공주 공산성 [유네스코 세계유산],0
충청남도,공주 반죽동당간지주,0
충청남도,공주 산림휴양마을,0
충청남도,공주 석장리 유적,0
충청남도,공주 우금치 전적,0
충청남도,공주 원골마을,0
충청남도,공주 정지산 유적,0
충청남도,공주 중동성당,0
충청남도,공주 황새바위 순교성지,0
충청남도,공주상신리 당간지주,0
충청남도,공주서혈사지,0
충청남도,공주시,0
충청남도,공주역사영상관,0
충청남도,공주제일교회,0
충청남도,공주치즈스쿨,0
충청남도,공주향교,0
강원도,공지천 조각공원,0
강원도,공지천(황금비늘테마거리),0
인천,공항철도 서해바다열차,0
강원도,공현진1리해변,0
강원도,공현진항,0
강원도,공현진항 배낚시,0
울산,과개안(너븐개) 해안,0
경기도,과천야생화자연학습장,0
경기도,과천향교,0
전라남도,곽도,0
제주도,곽지과물해변,0
전라북도,관곡서원,0
전라북도,관곡서원 소장 전적 및 고문서,0
경기도,관곡지,0
대구,관덕정,0
제주도,관덕정(제주),0
광주,관덕정의 각궁,0
경상북도,관란서원,0
경상남도,관룡사,0
전라남도,관매도·관매해수욕장,0
서울,관문사(서울),0
경상북도,관문산,0
전라남도,관방제림,0
충청남도,관북리유적과 부소산성 [유네스코 세계유산],0
전라남도,관사도,0
경상남도,관산서당,0
전라북도,관성묘,0
경상북도,관성솔밭해변,0
부산,관수옥과 초량왜관 터,0
서울,관악산,0
서울,관악산 낙성대공원,0
서울,관악산 생태공원,0
서울,관악산 호수공원,0
서울,관악산공원 야외식물원,0
대구,관암사(대구),0
강원도,관음굴(삼척 대이리 동굴지대),0
경상북도,관음도,0
강원도,관음변상탱화,0
전라북도,관음봉,0
경상북도,관음사(고령),0
전라남도,관음사(곡성),0
전라북도,관음사(남원),0
대구,관음사(대구),0
전라북도,관음사(무주),0
서울,관음사(서울),0
울산,관음사(울산),0
제주도,관음사(제주),0
경상남도,관음사(창녕),0
강원도,관음사/국형사계곡,0
충청남도,관음사석탑,0
경기도,관음산,0
충청북도,관음암(충북),0
경상남도,관음정사(김해),0
전라북도,관응사(김제),0
충청남도,관촉사(논산),0
경상남도,관해정,0
서울,관훈동 민씨 가옥 (구 부마도위박영효가옥),0
경기도,광개토태왕비ㆍ동상,0
경기도,광교산,0
경상북도,광남서원,0
강원도,광대곡,0
전라남도,광대도,0
강원도,광덕계곡,0
충청북도,광덕사,0
